ID_individual,wound_type,wound_Stage,Species,Sex,Length_mm,Weight_g
ATS_2008_130,B,late,ATS,F,56.5,1.78
ATS_2008_132,B,late,ATS,F,69.5,3.15
ATS_2008_133,B,mid,ATS,F,70.5,3.44
ATS_2008_134,B,late,ATS,F,56,1.7
ATS_2008_136,B,mid,ATS,F,66,3.34
ATS_2008_139,A,mid,ATS,F,73,3.45
ATS_2008_139, B,late,ATS,F,73,3.45
ATS_2008_142,A,late,ATS,M,63.5,2.04
ATS_2008_143,B,late,ATS,F,58,1.88
ATS_2008_144,B,late,ATS,F,69.1,3.05
ATS_2008_150,B,late,ATS,F,58,1.82
ATS_2008_152,A,mid,ATS,F,61,1.84
ATS_2008_154,B,late,ATS,F,55.5,1.82
ATS_2008_155,A,late,ATS,F,72.5,3
ATS_2008_155, B,late,ATS,F,72.5,3
ATS_2008_155, B,late,ATS,F,72.5,3
ATS_2008_157,B,late,ATS,F,73.2,3.7
ATS_2008_158,B,late,ATS,F,65.5,3
ATS_2008_158, B,late,ATS,F,65.5,3
ATS_2008_158, B,late,ATS,F,65.5,3
ATS_2008_159,A,early,ATS,F,71.5,3.18
ATS_2008_163,B,late,ATS,F,70,3.24
ATS_2008_164,B,late,ATS,F,67.3,2.72
ATS_2008_165,B,late,ATS,F,62,1.89
ATS_2009_001,B,late,ATS,F,58.6,2.42
ATS_2009_002,A,late,ATS,M,57.5,1.7
ATS_2009_005,B,late,ATS,F,67.5,3.58
ATS_2009_008,B,late,ATS,F,66.4,3.14
ATS_2009_009,B,late,ATS,F,70.6,3.8
ATS_2009_011,B,late,ATS,F,56,2.06
ATS_2009_012,B,early,ATS,M,62.7,2.47
ATS_2009_012, B,late,ATS,M,62.7,2.47
ATS_2009_013,B,mid,ATS,F,68.6,3.48
ATS_2009_013, B,late,ATS,F,68.6,3.48
ATS_2009_019,B,late,ATS,F,69,3.39
ATS_2009_019, B,late,ATS,F,69,3.39
ATS_2009_020,B,late,ATS,F,74.4,4.58
ATS_2009_022,B,late,ATS,F,67.9,2.86
ATS_2009_024,A,mid,ATS,M,77.4,3.61
ATS_2009_026,B,late,ATS,F,59,2.35
ATS_2009_027,B,late,ATS,M,59.5,2.1
ATS_2009_029,B,late,ATS,M,62.3,2.25
ATS_2009_030,B,late,ATS,F,70.2,3.61
ATS_2009_035,B,late,ATS,F,73,3.3
ATS_2009_037,B,mid,ATS,F,67.2,3.24
ATS_2009_038,A,mid,ATS,M,58.5,1.9
ATS_2009_039,A,early,ATS,M,76,4.1
ATS_2009_039, B,early,ATS,M,76,4.1
ATS_2009_040,B,late,ATS,F,75,4.47
ATS_2009_041,B,late,ATS,M,52.4,1.41
ATS_2009_042,A,late,ATS,F,59.3,2.01
ATS_2009_047,A,early,ATS,F,66,2.6
ATS_2009_052,B,early,ATS,M,65.3,3.39
ATS_2009_054,B,mid,ATS,M,64.5,3.3
ATS_2009_055,B,early,ATS,F,72.1,3.6
ATS_2009_057,B,late,ATS,F,74.5,3.88
ATS_2009_058,B,late,ATS,M,54,1.55
ATS_2009_059,B,late,ATS,F,62,2.58
ATS_2009_060,A,early,ATS,M,75.5,3.7
ATS_2009_062,A,early,ATS,F,74,4.68
ATS_2009_062, B,late,ATS,F,74,4.68
ATS_2009_063,A,late,ATS,F,76.3,6.07
ATS_2009_063, A,late,ATS,F,76.3,6.07
ATS_2009_063, A,late,ATS,F,76.3,6.07
ATS_2009_064,B,late,ATS,F,66,3.02
ATS_2009_065,B,late,ATS,M,58.6,1.62
ATS_2009_068,A,late,ATS,M,61.2,1.91
ATS_2009_070,A,late,ATS,F,64,3.13
ATS_2009_070, B,late,ATS,F,64,3.13
ATS_2009_072,B,late,ATS,F,71.5,3.1
ATS_2009_074,A,mid,ATS,M,69.5,2.8
ATS_2009_076,B,mid,ATS,F,70.7,4.25
ATS_2009_077,B,early,ATS,F,65,3.65
ATS_2009_077, B,mid,ATS,F,65,3.65
ATS_2009_079,B,early,ATS,F,70.5,3.48
ATS_2009_079, B,late,ATS,F,70.5,3.48
ATS_2009_079, B,late,ATS,F,70.5,3.48
ATS_2009_080,B,late,ATS,F,74.1,3.69
ATS_2009_082,B,mid,ATS,F,73.5,4.3
ATS_2009_084,A,early,ATS,M,57.5,1.9
ATS_2009_087,B,mid,ATS,M,55.6,1.82
ATS_2009_091,A,early,ATS,F,76,4.42
ATS_2009_092,B,late,ATS,F,74.8,4.95
ATS_2009_092, B,late,ATS,F,74.8,4.95
ATS_2009_098,B,mid,ATS,F,69,3.62
ATS_2009_100,A,mid,ATS,M,75,2.92
ATS_2009_101,A,early,ATS,F,70.5,4.24
ATS_2009_102,A,late,ATS,M,57.5,1.79
ATS_2009_111,B,late,ATS,M,63.5,2.3
ATS_2009_111, B,late,ATS,M,63.5,2.3
ATS_2009_112,B,late,ATS,F,66,3.34
ATS_2009_113,B,late,ATS,F,63,3.73
ATS_2009_113, B,late,ATS,F,63,3.73
ATS_2009_114,B,late,ATS,F,70,3.71
ATS_2009_115,B,late,ATS,F,71.5,3.98
ATS_2009_115, B,late,ATS,F,71.5,3.98
ATS_2009_116,B,late,ATS,F,69.5,3.18
ATS_2009_119,A,early,ATS,F,68,2.86
ATS_2009_119, A,mid,ATS,F,68,2.86
ATS_2009_119, B,late,ATS,F,68,2.86
ATS_2009_120,B,late,ATS,F,74,3.17
ATS_2009_122,B,mid,ATS,F,73.5,3.97
ATS_2009_124,A,early,ATS,F,72.6,4.26
ATS_2009_124, B,late,ATS,F,72.6,4.26
ATS_2009_127,B,late,ATS,F,59.2,1.93
ATS_2009_128,A,mid,ATS,F,54.2,1.86
ATS_2009_128, B,late,ATS,F,54.2,1.86
ATS_2009_130,A,mid,ATS,F,68.5,4.28
ATS_2009_130, B,mid,ATS,F,68.5,4.28
ATS_2009_131,A,early,ATS,M,63.1,2.29
ATS_2009_131, B,late,ATS,M,63.1,2.29
ATS_2009_131, B,late,ATS,M,63.1,2.29
ATS_2009_132,A,late,ATS,F,68.2,3.95
ATS_2009_135,B,mid,ATS,F,65.2,3.5
ATS_2009_136,A,late,ATS,F,60,2.5
ATS_2009_137,A,mid,ATS,M,60.1,2.08
ATS_2009_140,A,late,ATS,F,58.5,1.89
ATS_2010_002,A,late,ATS,F,56.9,1.74
ATS_2010_004,A,late,ATS,F,64.3,2.82
ATS_2010_004, A,late,ATS,F,64.3,2.82
ATS_2010_006,B,early,ATS,F,71.1,3.12
ATS_2010_006, A,late,ATS,F,71.1,3.12
ATS_2010_014,A,late,ATS,M,57.8,1.8
ATS_2010_020,A,early,ATS,M,77.5,4.78
ATS_2010_026,A,late,ATS,M,65.4,2.47
ATS_2010_027,B ,mid,ATS,F,57.5,1.88
ATS_2010_028,B,late,ATS,F,62.7,2.57
ATS_2010_028, A,late,ATS,F,62.7,2.57
ATS_2010_029,B,early,ATS,F,58,1.77
ATS_2010_031,A,late,ATS,M,58,1.66
ATS_2010_033,A,early,ATS,M,72.5,3.23
ATS_2010_033, A,late,ATS,M,72.5,3.23
ATS_2010_034,B,mid,ATS,F,67.5,2.93
ATS_2010_034, A,late,ATS,F,67.5,2.93
ATS_2010_035,A,mid,ATS,M,62.5,2.19
ATS_2010_036,A,late,ATS,M,58,1.75
ATS_2010_037,B,late,ATS,M,55.5,1.41
ATS_2010_039,A,late,ATS,M,71,2.96
ATS_2010_042,A,mid,ATS,M,57,1.88
ATS_2010_047,A,late,ATS,M,74.5,4.49
ATS_2010_048,B,late,ATS,F,55,1.55
ATS_2010_049,A,late,ATS,M,56,1.74
ATS_2010_051,A,late,ATS,M,75,3.92
ATS_2010_056,B,late,ATS,F,58.5,1.92
ATS_2010_056, B,late,ATS,F,58.5,1.92
ATS_2010_060,B ,late,ATS,F,55,1.61
ATS_2010_062,A,mid,ATS,F,68,2.77
ATS_2010_062, A,mid,ATS,F,68,2.77
ATS_2010_064,A ,late,ATS,M,60,1.83
ATS_2010_068,A,late,ATS,F,62,3.07
ATS_2010_070,A,late,ATS,F,62,2.3
ATS_2010_071,B,early,ATS,M,64.5,2.81
ATS_2010_072,A,late,ATS,F,71,3.77
ATS_2010_074,A,late,ATS,M,74.5,3.95
ATS_2010_075,A,late,ATS,M,52.1,1.41
ATS_2010_076,B,late,ATS,M,61.2,2.23
ATS_2010_077,A ,late,ATS,M,54.5,1.71
ATS_2010_078,A,mid,ATS,M,42.4,0.86
ATS_2010_079,A,late,ATS,F,58.2,1.95
ATS_2010_083,A,mid,ATS,M,61.8,2.04
ATS_2010_086,B,late,ATS,M,52.7,1.68
ATS_2010_088,A,late,ATS,F,75.5,4.26
ATS_2010_088, B,late,ATS,F,75.5,4.26
ATS_2010_090,A,late,ATS,M,77.7,4.58
ATS_2010_093,A,late,ATS,M,60.2,2.23
ATS_2010_093, A,late,ATS,M,60.2,2.23
ATS_2010_094,A,late,ATS,M,61.8,2.34
ATS_2010_094, A,late,ATS,M,61.8,2.34
ATS_2010_096,A,late,ATS,M,72.8,3.35
ATS_2010_097,A,late,ATS,F,53.7,1.39
ATS_2010_098,A,late,ATS,F,50.8,1.26
ATS_2010_100,B,late,ATS,M,55.5,1.57
ATS_2010_102,A,late,ATS,F,57.2,1.75
ATS_2010_102, B,late,ATS,F,57.2,1.75
ATS_2010_105,B,late,ATS,M,56.5,1.64
ATS_2010_110,A,mid,ATS,M,54.5,1.46
ATS_2010_110,A,mid,ATS,M,54.5,1.46
ATS_2010_113,B,late,ATS,M,53,1.02
ATS_2010_114,A ,late,ATS,F,57,1.98
ATS_2010_115,B,late,ATS,F,66,2.7
ATS_2010_127,A,late,ATS,M,58.5,1.72
ATS_2010_130,A,late,ATS,F,53.8,1.17
ATS_2010_130,A,late,ATS,F,53.8,1.17
ATS_2010_131,A,mid,ATS,F,76.5,3.37
ATS_2010_133,A,mid,ATS,F,54,1.6
ATS_2010_134,A,late,ATS,F,56,2
ATS_2010_134,B,late,ATS,F,56,2
ATS_2010_136,A,late,ATS,F,55,1.73
ATS_2010_138,A,late,ATS,F,52.5,1.99
ATS_2010_138,A,late,ATS,F,52.5,1.99
ATS_2010_141,A,late,ATS,F,51.9,2.2
ATS_2010_142,A,late,ATS,M,70,3.8
ATS_2010_143,B,late,ATS,F,55,2.06
ATS_2010_144,A,late,ATS,F,70,3.93
ATS_2010_145,A,mid,ATS,F,51.1,1.27
ATS_2010_146,A,mid,ATS,M,55.4,1.87
ATS_2010_146,A,late,ATS,M,55.4,1.87
ATS_2010_148,A,late,ATS,F,56,1.79
ATS_2010_151,B,late,ATS,F,72,3.49
ATS_2010_152,A,late,ATS,F,59,2.4
ATS_2010_155,A,late,ATS,M,55.2,1.48
ATS_2010_163,A,late,ATS,M,66.04,
ATS_2010_204,A,late,ATS,F,53,1.47
ATS_2010_210,A,late,ATS,M,54.61,
ATS_2010_210, A,late,ATS,M,54.61,
ATS_2011_002,B,late,ATS,F,67.8,3.63
ATS_2011_002, B,late,ATS,F,67.8,3.63
ATS_2011_004,A,late,ATS,M,68,3.22
ATS_2011_006,B,late,ATS,M,59.8,1.64
ATS_2011_007,A,late,ATS,M,72.1,3.37
ATS_2011_007, A,late,ATS,M,72.1,3.37
ATS_2011_007, B,late,ATS,M,72.1,3.37
ATS_2011_009,B,late,ATS,M,55,1.55
ATS_2011_010,A,early,ATS,M,60.1,2.19
ATS_2011_010, B,late,ATS,M,60.1,2.19
ATS_2011_011,A,early,ATS,F,68.3,3.76
ATS_2011_011, B,late,ATS,F,68.3,3.76
ATS_2011_017,A,late,ATS,M,57.5,1.69
ATS_2011_017, B,late,ATS,M,57.5,1.69
ATS_2011_018,B,late,ATS,M,57.5,1.65
ATS_2011_019,B,early,ATS,M,61.5,2.5
ATS_2011_021,B,late,ATS,F,68.4,2.7
ATS_2011_022,B,mid,ATS,M,63.4,2.32
ATS_2011_025,B,late,ATS,M,63,2.2
ATS_2011_026,A,late,ATS,M,55.5,1.52
ATS_2011_026, A,late,ATS,M,55.5,1.52
ATS_2011_027,B,late,ATS,F,67,
ATS_2011_029,A,mid,ATS,F,63,3.09
ATS_2011_030,B,late,ATS,M,78.5,4.54
ATS_2011_033,A,mid,ATS,M,56.6,2.12
ATS_2011_034,B,late,ATS,M,69.5,2.44
ATS_2011_034, B,late,ATS,M,69.5,2.44
ATS_2011_036,A,mid,ATS,M,61.4,1.91
ATS_2011_038,B,mid,ATS,F,60.9,2.59
ATS_2011_042,A,mid,ATS,M,58,2.43
ATS_2011_042, B,mid,ATS,M,58,2.43
ATS_2011_043,B,late,ATS,F,56.1,2.03
ATS_2011_046,B,late,ATS,F,60.2,2.18
ATS_2011_047,A,late,ATS,M,58.2,1.68
ATS_2011_049,A,mid,ATS,M,61.5,1.93
ATS_2011_054,A,late,ATS,M,64.7,2.05
ATS_2011_054, B,late,ATS,M,64.7,2.05
ATS_2011_056,B,late,ATS,F,66.8,2.77
ATS_2011_056, B,late,ATS,F,66.8,2.77
ATS_2011_058,A,late,ATS,F,55.5,1.85
ATS_2011_058, B,mid,ATS,F,55.5,1.85
ATS_2011_062,B,early,ATS,M,56.5,1.81
ATS_2011_063,B,early,ATS,F,67.5,3.45
ATS_2011_067,B,late,ATS,M,60.5,1.95
ATS_2011_068,B,mid,ATS,M,54.5,1.65
ATS_2011_069,A,early,ATS,M,63.5,2.15
ATS_2011_071,A,mid,ATS,M,59.8,2.08
ATS_2011_072,B,early,ATS,F,69,3.02
ATS_2011_072, B,late,ATS,F,69,3.02
ATS_2011_076,B,late,ATS,M,54.5,1.46
ATS_2011_077,B,mid,ATS,M,60.3,2.12
ATS_2011_078,B,late,ATS,F,67.5,2.28
ATS_2011_082,B,late,ATS,F,70,4.1
ATS_2011_084,A,mid,ATS,M,63,2.72
ATS_2011_086,B,early,ATS,F,76.2,5.09
ATS_2011_086, B,early,ATS,F,76.2,5.09
ATS_2011_089,B,late,ATS,M,57,1.9
ATS_2011_089, B,late,ATS,M,57,1.9
ATS_2011_090,B,mid,ATS,M,77.8,4.09
ATS_2011_091,B,mid,ATS,F,65,2.8
ATS_2011_094,B,late,ATS,M,57.5,1.57
ATS_2011_098,B,late,ATS,F,52,1.45
ATS_2011_099,B,mid,ATS,F,68.2,3.8
ATS_2011_099, B,late,ATS,F,68.2,3.8
ATS_2011_101,B,late,ATS,F,62.7,3.36
ATS_2011_101, B,late,ATS,F,62.7,3.36
ATS_2011_102,B,late,ATS,M,57.5,1.77
ATS_2011_105,A,late,ATS,M,57.6,1.89
ATS_2011_106,B,early,ATS,M,60.1,1.88
ATS_2011_108,A,late,ATS,M,52.5,1.29
ATS_2011_109,A,mid,ATS,M,54.5,1.39
ATS_2011_110,A,late,ATS,M,56.7,1.65
ATS_2011_110, B,mid,ATS,M,56.7,1.65
ATS_2011_111,B,late,ATS,M,56.9,1.56
ATS_2011_112,A,late,ATS,M,62.2,2.2
ATS_2011_112, B,mid,ATS,M,62.2,2.2
ATS_2011_113,A,mid,ATS,F,70.2,3
ATS_2011_116,B,late,ATS,M,75,6.1
ATS_2011_116, B,late,ATS,M,75,6.1
ATS_2011_119,B,late,ATS,F,60,2.2
ATS_2011_130,B,late,ATS,M,76,3.7
ATS_2011_133,A,early,ATS,M,59,1.76
ATS_2011_135,B,mid,ATS,F,55.5,1.87
ATS_2011_137,B,late,ATS,M,52,1.62
ATS_2011_138,B,early,ATS,F,73.5,5.13
ATS_2011_140,B,late,ATS,F,68,3.88
ATS_2011_141,B,late,ATS,M,55.3,1.52
ATS_2011_143,A,mid,ATS,M,53,1.85
ATS_2011_144,B,late,ATS,M,59,1.89
ATS_2011_145,B,mid,ATS,F,71.5,4.31
ATS_2011_146,A,late,ATS,M,59,2
ATS_2011_146, B,late,ATS,M,59,2
ATS_2011_150,B,mid,ATS,F,50,1.29
ATS_2011_151,B,early,ATS,M,57.5,2.02
ATS_2011_152,B,early,ATS,M,60,2.01
ATS_2011_154,B,early,ATS,F,70.5,2.77
ATS_2011_155,B,mid,ATS,M,49.5,0.91
ATS_2011_160,B,mid,ATS,M,63,2.35
ATS_2011_165,B,late,ATS,F,59,2.07
ATS_2011_168,A,late,ATS,F,69.2,2.93
ATS_2011_168, A,late,ATS,F,69.2,2.93
ATS_2011_168, A,late,ATS,F,69.2,2.93
ATS_2011_169,B,late,ATS,M,59.2,1.94
ATS_2011_171,B,late,ATS,F,67,3.07
ATS_2011_176,B,early,ATS,M,56,1.28
ATS_2011_179,A,early,ATS,M,60,1.98
ATS_2011_180,A,late,ATS,M,55,1.35
ATS_2011_185,A,late,ATS,F,72.5,3.57
ATS_2011_185, A,mid,ATS,F,72.5,3.57
ATS_2011_187,B,mid,ATS,M,56.7,1.93
ATS_2011_188,A,early,ATS,F,58,1.86
ATS_2011_189,A,late,ATS,F,61.3,3.85
ATS_2011_196,A,late,ATS,F,54,1.68
ATS_2011_198,A,late,ATS,M,56.5,1.67
ATS_2011_204,B,late,ATS,F,58,2.08
ATS_2011_208,A,late,ATS,F,61.3,2.23
ATS_2011_210,B,late,ATS,M,61.5,1.87
ATS_2011_211,B,mid,ATS,F,50.5,1.57
ATS_2011_214,B,early,ATS,F,55.5,2.02
ATS_2011_215,B,early,ATS,F,66,3.25
ATS_2011_216,A,mid,ATS,M,76.5,3.89
ATS_2011_217,B,late,ATS,M,68,1.7
ATS_2011_218,B,late,ATS,M,61,1.99
ATS_2011_219,B,late,ATS,F,72.5,3.59
ATS_2011_220,B,late,ATS,F,57,1.6
ATS_2011_221,A,mid,ATS,F,66,2.2
ATS_2011_222,A,mid,ATS,F,70,4.33
ATS_2011_224,A,late,ATS,F,57,2
ATS_2011_225,B,late,ATS,F,57.5,1.93
ATS_2011_227,B,late,ATS,F,54.5,1.52
ATS_2011_230,B,late,ATS,M,57.5,1.82
ATS_2011_231,B,mid,ATS,F,57.5,1.92
ATS_2011_232,A,early,ATS,M,78,3.94
ATS_2011_233,A,late,ATS,F,67,3.3
ATS_2011_236,B,late,ATS,F,63,2.79
ATS_2011_239,B,late,ATS,F,57.5,2.14
ATS_2012_005,A,late,ATS,M,72,3.2
ATS_2012_006,A,late,ATS,F,57.6,1.94
ATS_2012_009,B,mid,ATS,M,73.5,3.79
ATS_2012_011,B,mid,ATS,M,62,1.86
ATS_2012_012,A,early,ATS,M,53.5,1.75
ATS_2012_023,B,mid,ATS,F,60,2.68
ATS_2012_027,B,early,ATS,M,61.5,2.51
ATS_2012_028,B,late,ATS,F,68,3.39
ATS_2012_036,B,early,ATS,F,60.2,2.17
ATS_2012_037,B,late,ATS,F,74.2,4.22
ATS_2012_039,B,late,ATS,F,71,4.18
ATS_2012_040,A,late,ATS,M,62,1.73
ATS_2012_043,A,mid,ATS,M,62.6,2.34
ATS_2012_043,A,mid,ATS,M,62.6,2.34
ATS_2012_046,A,mid,ATS,F,55,1.59
ATS_2012_047,B,late,ATS,F,58.5,1.76
ATS_2012_048,B,late,ATS,M,63.3,2.4
ATS_2012_050,B,late,ATS,F,63.2,1.85
ATS_2012_052,B,late,ATS,M,62,2.44
ATS_2012_054,A,late,ATS,M,74.5,4.21
ATS_2012_055,B,mid,ATS,M,55.1,2.31
ATS_2012_057,A,early,ATS,M,60,1.95
ATS_2012_059,B,late,ATS,F,60,2.2
ATS_2012_060,A,late,ATS,M,77.5,4.4
ATS_2012_062,B,late,ATS,M,60,1.94
ATS_2012_065,B,late,ATS,M,65,2.28
ATS_2012_066,B,late,ATS,F,59,2.21
ATS_2012_067,B,late,ATS,M,60.4,1.68
ATS_2012_068,B,late,ATS,M,64.5,2.09
ATS_2012_069,B,late,ATS,M,63.6,2.02
ATS_2012_070,B,late,ATS,M,63,2.21
ATS_2012_071,B,late,ATS,F,58.5,2.1
ATS_2012_071,B,late,ATS,F,58.5,2.1
ATS_2012_071,A,early,ATS,F,58.5,2.1
ATS_2012_072,A,late,ATS,M,65.5,2.69
ATS_2012_075,B,late,ATS,F,63.5,2.52
ATS_2012_078,A,late,ATS,M,62,1.89
ATS_2012_078,B,mid,ATS,M,62,1.89
ATS_2012_079,A,early,ATS,M,64.5,2.52
ATS_2012_080,A,late,ATS,M,69.6,3.62
ATS_2012_081,B,late,ATS,M,56,1.59
ATS_2012_082,A,late,ATS,M,65,2.4
ATS_2012_083,B,late,ATS,M,60,1.84
ATS_2012_085,A,late,ATS,M,55.6,1.7
ATS_2012_093,B,late,ATS,F,61.5,2.54
ATS_2012_093,B,late,ATS,F,61.5,2.54
ATS_2012_098,A,mid,ATS,F,58,1.7
ATS_2012_098,A,late,ATS,F,58,1.7
ATS_2012_098, A,late,ATS,F,58,1.7
ATS_2012_100,A,mid,ATS,M,62.5,2.08
ATS_2012_105,A,late,ATS,F,56.2,1.73
ATS_2012_106,A,late,ATS,F,73.5,3.53
ATS_2012_107,A,late,ATS,F,71.2,2.96
ATS_2012_108,A,mid,ATS,F,59.5,2.19
ATS_2012_112,A,late,ATS,M,59.2,1.24
ATS_2012_113,A,late,ATS,F,54.2,1.98
ATS_2012_116,A,late,ATS,F,70.2,3.46
ATS_2012_116,B,late,ATS,F,70.2,3.46
ATS_2012_120,B,late,ATS,M,62.1,1.99
ATS_2012_130,B,late,ATS,F,60.6,2.27
ATS_2012_131,B,early,ATS,M,73.2,3.91
ATS_2012_132,A,mid,ATS,M,60.4,1.81
ATS_2012_134,B,late,ATS,F,65.5,3
ATS_2012_134,B,late,ATS,F,65.5,3
ATS_2012_139,B,late,ATS,F,73.2,3.91
ATS_2012_144,A,mid,ATS,M,63.5,2.4
ATS_2012_148,B,late,ATS,F,72,3.48
ATS_2012_149,B,late,ATS,F,74,4.06
ATS_2012_150,A,late,ATS,F,60.5,2.77
ATS_2012_152,A,mid,ATS,M,61.9,2.04
ATS_2012_155,A,mid,ATS,M,66.2,2.52
ATS_2012_156,A,late,ATS,M,59.4,1.9
ATS_2012_159,A,early,ATS,F,71.5,3.2
ATS_2012_160,A,late,ATS,F,71.2,3.36
ATS_2012_160,B,late,ATS,F,71.2,3.36
ATS_2012_161,A,mid,ATS,M,56.5,1.37
ATS_2012_163,A,early,ATS,M,63,2.54
ATS_2012_169,B,late,ATS,M,79,3.93
ATS_2012_170,B,late,ATS,F,59.8,2.06
ATS_2012_171,A,late,ATS,F,60.5,2.32
ATS_2012_171,B,late,ATS,F,60.5,2.32
ATS_2012_175,B,late,ATS,M,56.5,1.32
ATS_2012_176,B,late,ATS,F,71.5,4.22
ATS_2012_181,A,mid,ATS,M,73.5,3.53
ATS_2012_181,B,late,ATS,M,73.5,3.53
ATS_2012_186,B,late,ATS,M,67.4,2.65
ATS_2012_187,A,early,ATS,M,64,2.15
ATS_2012_187,B,early,ATS,M,64,2.15
ATS_2012_188,B,late,ATS,F,58,1.97
ATS_2012_190,A,early,ATS,F,78.6,5.07
ATS_2012_197,B,late,ATS,M,71,2.87
